label,group,y,value,density,y_top
Qwen14B student,distilled,3,0.07258687258687235,0.5120920578175805,3.2970133935341965
Qwen14B student,distilled,3,0.08050193050193033,0.4295787114252897,3.249155652626668
Qwen14B student,distilled,3,0.088416988416988307,0.36040177460896466,3.2090330292731997
Qwen14B student,distilled,3,0.09633204633204628,0.2931826274218099,3.1700459239046497
Qwen14B student,distilled,3,0.10424710424710404,0.21867156330733442,3.126829506718254
Qwen14B student,distilled,3,0.11216216216216202,0.1465593722888789,3.0850044359275497
Qwen14B student,distilled,3,0.12007722007721999,0.09340363530597125,3.054174108477463
Qwen14B student,distilled,3,0.12799227799227775,0.0634590937588498,3.0368062743801327
Qwen14B student,distilled,3,0.13590733590733572,0.05216239732594114,3.0302541904490456
Qwen14B student,distilled,3,0.1438223938223937,0.052243657359166716,3.0303013212683165
Qwen14B student,distilled,3,0.15173745173745168,0.055419061251923946,3.0321430555261157
Qwen14B student,distilled,3,0.15965250965250943,0.05546695682428219,3.032170834958084
Qwen14B student,distilled,3,0.1675675675675674,0.05153991130691253,3.0298931485580094
Qwen14B student,distilled,3,0.1754826254826254,0.04558809526166701,3.026441095251767
Qwen14B student,distilled,3,0.18339768339768314,0.03776962618850467,3.0219063831893327
Qwen14B student,distilled,3,0.19131274131274112,0.027828204339371544,3.0161403585168354
Qwen14B student,distilled,3,0.1992277992277991,0.017626446694725826,3.010223339082941
Qwen14B student,distilled,3,0.20714285714285707,0.009411598412499899,3.00545872707925
Qwen14B student,distilled,3,0.21505791505791483,0.004083145364349599,3.0023682243113226
Qwen14B student,distilled,3,0.2229729729729728,0.0013546419481534084,3.000785692329929
Qwen14B student,distilled,3,0.23088803088803078,3.2210778339620785e-4,3.0001868225143697
Qwen14B student,distilled,3,0.23880308880308854,5.215494437316011e-5,3.0000302498677365
Qwen14B student,distilled,3,0.2467181467181465,5.970862670645345e-6,3.000003463100349
Qwen14B student,distilled,3,0.2546332046332045,5.183004238325517e-7,3.000000300614246
